S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
138.693849,0.406269,91.691697,0.43752,357.688248,0.453146,776.066774,0.390643,872.071168,0.562526,104.520409,0.531274,97.082569,0.406269,374.532769,0.500023,307.326568,0.453146,357.328856,0.468771
139.16262,0.468771,92.160469,0.468771,358.282025,0.593777,1243.135029,0.578151,872.664945,0.593777,104.911052,0.390643,97.520089,0.43752,403.424716,0.515649,307.779714,0.453146,357.782002,0.453146
139.631392,0.468771,92.62924,0.468771,375.751575,0.453146,1551.742905,0.87504,873.258723,0.593777,105.379824,0.468771,97.957609,0.43752,403.877862,0.453146,308.295362,0.515649,365.282345,0.531274
140.053286,0.421894,93.113637,0.484397,611.121724,0.421894,1709.375121,0.65628,873.8525,0.593777,135.178063,0.421894,98.42638,0.468771,422.394335,0.421894,311.264248,0.359391,374.751529,0.43752
140.537683,0.484397,93.582409,0.468771,624.981733,0.421894,1801.816852,0.734409,874.446277,0.593777,135.678086,0.500023,98.848274,0.421894,517.383058,0.375017,313.623731,0.453146,375.314054,0.562526
140.959577,0.421894,94.082432,0.500023,625.372376,0.390643,1815.879996,0.843789,875.040054,0.593777,136.131231,0.453146,99.285794,0.43752,517.726824,0.343766,314.061251,0.43752,461.06798,0.609403
141.428349,0.468771,102.473441,0.406269,625.809896,0.43752,1926.666317,0.703157,875.633831,0.593777,136.600003,0.468771,99.73894,0.453146,518.195595,0.468771,314.561274,0.500023,1492.162052,0.640654
141.850243,0.421894,102.895335,0.421894,626.294293,0.484397,2066.203954,0.718783,876.227608,0.593777,137.053149,0.453146,100.192086,0.453146,518.617489,0.421894,319.639632,0.500023,1492.912086,0.750034
142.303389,0.453146,103.270352,0.375017,626.747439,0.453146,2066.98524,0.781286,876.821386,0.593777,137.553171,0.500023,100.629606,0.43752,519.008132,0.390643,320.077152,0.43752,1664.935585,0.671906
142.740909,0.43752,103.739124,0.468771,629.278805,0.609403,2067.735275,0.750034,877.415163,0.593777,138.021943,0.468771,101.0515,0.421894,519.367524,0.359391,320.48342,0.406269,1665.591866,0.65628
143.20968,0.468771,126.599545,0.421894,629.794453,0.515649,2068.51656,0.781286,877.977689,0.562526,138.490714,0.468771,101.520272,0.468771,519.789418,0.421894,329.202569,0.578151,1666.263771,0.671906
143.6472,0.43752,127.037065,0.43752,630.372605,0.578151,2069.219718,0.703157,878.55584,0.578151,138.959486,0.468771,103.817252,0.43752,521.992644,0.43752,329.718218,0.515649,1666.935677,0.671906
144.08472,0.43752,127.474585,0.43752,1201.383118,0.593777,2069.969752,0.750034,879.10274,0.5469,139.443883,0.484397,104.254772,0.43752,522.398912,0.406269,330.249492,0.531274,1693.827533,0.65628
144.506615,0.421894,127.943357,0.468771,1530.226296,0.718783,2070.672909,0.703157,879.665266,0.562526,139.92828,0.484397,104.770421,0.515649,522.836432,0.43752,330.73389,0.484397,1694.436936,0.609403
144.95976,0.453146,128.365251,0.421894,1530.945079,0.718783,2071.376066,0.703157,880.227792,0.562526,140.381426,0.453146,105.207941,0.43752,544.29054,0.375017,340.671844,0.515649,1695.061965,0.625029
145.428532,0.468771,128.802771,0.43752,1534.273356,0.703157,2072.079223,0.703157,880.774692,0.5469,140.865823,0.484397,105.661086,0.453146,544.72806,0.43752,341.249996,0.578151,1695.702619,0.640654
145.897303,0.468771,129.271543,0.468771,1534.960887,0.687531,2072.766755,0.687531,881.368469,0.593777,141.334594,0.468771,106.082981,0.421894,565.354004,0.421894,366.844918,0.500023,1696.327647,0.625029
146.412952,0.515649,129.724688,0.453146,1535.726547,0.76566,2073.438661,0.671906,881.930995,0.562526,141.803366,0.468771,108.301832,0.468771,565.791524,0.43752,367.313689,0.468771,1696.952676,0.625029
146.850472,0.43752,130.162208,0.43752,1536.304699,0.578151,2074.126192,0.687531,882.509146,0.578151,142.319015,0.515649,108.739352,0.43752,585.636182,0.468771,367.766835,0.453146,1697.577705,0.625029
147.366121,0.515649,130.615354,0.453146,1961.917931,0.65628,2074.860601,0.734409,883.087297,0.578151,142.756535,0.43752,109.192498,0.453146,586.058076,0.421894,368.235606,0.468771,1698.171482,0.593777
147.819266,0.453146,131.052874,0.43752,2062.891303,0.43752,2075.563758,0.703157,883.681075,0.593777,143.240932,0.484397,109.630018,0.43752,586.448719,0.390643,368.735629,0.500023,1698.780885,0.609403
148.303663,0.484397,131.552897,0.500023,2068.719695,0.468771,2076.266915,0.703157,884.290478,0.609403,247.448827,0.734409,110.083164,0.453146,586.933116,0.484397,371.095112,0.43752,1699.374662,0.593777
148.756809,0.453146,131.990417,0.43752,2069.141589,0.421894,2077.048201,0.781286,884.89988,0.609403,253.996001,0.43752,110.505058,0.421894,587.355011,0.421894,371.517006,0.421894,1700.015316,0.640654
149.241206,0.484397,132.459188,0.468771,2181.099839,0.453146,2077.938867,0.890666,885.509283,0.609403,291.41959,0.453146,110.97383,0.468771,592.605251,0.468771,372.079532,0.562526,1709.109483,0.593777
