relative_time,S1_EDA,S2_EDA,S3_EDA,S4_EDA,S5_EDA,S6_EDA,S7_EDA,S8_EDA,S9_EDA,S10_EDA
39.5,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
39.75,0.021784,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
40.0,0.023065,0.012814,0.003845,0.0,0.0,0.0,0.0,0.001282,0.01794,0.017939
40.25,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
40.5,0.020503,0.011533,0.0,0.0,0.0,0.0,0.0,0.0,0.012814,0.014095
40.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
41.0,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
41.25,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
41.5,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.016657
41.75,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.001281,0.001282,0.016658,0.01922
42.0,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
42.25,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
42.5,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
42.75,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
43.0,0.021784,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.01794,0.016657
43.25,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.001281,0.001282,0.016658,0.01922
43.5,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
43.75,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
44.0,0.023065,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
44.25,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.002563,0.01794,0.017939
44.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
44.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
45.0,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
45.25,0.025628,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.020501
45.5,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
45.75,0.021784,0.011533,0.002563,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
46.0,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
46.25,0.024347,0.011533,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
46.5,0.023065,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
46.75,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
47.0,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.002563,0.015377,0.017939
47.25,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
47.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
47.75,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
48.0,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
48.25,0.025628,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.016658,0.020501
48.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
48.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
49.0,0.021784,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
49.25,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
49.5,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
49.75,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.020501
50.0,0.024347,0.014096,0.0,0.0,0.0,0.001281,0.0,0.001282,0.016658,0.017939
50.25,0.024347,0.014096,0.002563,0.0,0.0,0.001281,0.0,0.001282,0.015377,0.020501
50.5,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
50.75,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
51.0,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
51.25,0.024347,0.015377,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
51.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
51.75,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
52.0,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
52.25,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
52.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
52.75,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
53.0,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
53.25,0.025628,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
53.5,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
53.75,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
54.0,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
54.25,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.003845,0.015377,0.01922
54.5,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
54.75,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.017939
55.0,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
55.25,0.02691,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
55.5,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
55.75,0.024347,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
56.0,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
56.25,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
56.5,0.023065,0.015377,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
56.75,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.020501
57.0,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
57.25,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
57.5,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
57.75,0.024347,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
58.0,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
58.25,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.002563,0.014096,0.017939
58.5,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.002563,0.016658,0.017939
58.75,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
59.0,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
59.25,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.01922
59.5,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.017939
59.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
60.0,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
60.25,0.021784,0.014096,0.001282,0.0,0.0,0.001281,0.0,0.001282,0.015377,0.01922
60.5,0.021784,0.010251,0.0,0.0,0.0,0.0,0.0,0.0,0.014096,0.017939
60.75,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
61.0,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.016658,0.017939
61.25,0.024347,0.014096,0.002563,0.0,0.0,0.0,0.0,0.003845,0.015377,0.017939
61.5,0.023065,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
61.75,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
62.0,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
62.25,0.024347,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
62.5,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
62.75,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.003845,0.014096,0.017939
63.0,0.025628,0.011533,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
63.25,0.023065,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
63.5,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.002563,0.014096,0.01922
63.75,0.024347,0.011533,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.021783
64.0,0.021784,0.012814,0.003845,0.0,0.0,0.0,0.0,0.0,0.015377,0.017939
64.25,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
64.5,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.01922
64.75,0.024347,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.014096,0.020501
65.0,0.021784,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
65.25,0.023065,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
65.5,0.021784,0.014096,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.017939
65.75,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
66.0,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
66.25,0.024347,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
66.5,0.021784,0.012814,0.001282,0.0,0.0,0.0,0.0,0.0,0.014096,0.01922
66.75,0.023065,0.014096,0.001282,0.0,0.0,0.0,0.0,0.0,0.015377,0.01922
67.0,0.021784,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.012814,0.017939
67.25,0.021784,0.011533,0.001282,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
67.5,0.023065,0.012814,0.001282,0.0,0.0,0.0,0.0,0.001282,0.014096,0.01922
67.75,0.023065,0.012814,0.0,0.0,0.0,0.0,0.0,0.001282,0.015377,0.017939
